date,kpi_id,kpi_name,value,expected,regime
2020-01-01,KPI_STP,STP_rate,81.06057758010836,82.0,stress
2020-01-01,KPI_E2E,processing_time,2.8000000000000003,2.6,stress
2020-01-01,KPI_INC,incident_count,36.23519841522869,35.0,stress
2020-02-01,KPI_STP,STP_rate,80.39832478061558,82.04851330203442,stress
2020-02-01,KPI_E2E,processing_time,2.966597308094984,2.596361502347418,stress
2020-02-01,KPI_INC,incident_count,37.20353422008397,34.939358372456965,stress
2020-03-01,KPI_STP,STP_rate,80.54737585662784,82.09389671361502,stress
2020-03-01,KPI_E2E,processing_time,3.034060540411314,2.592957746478873,stress
2020-03-01,KPI_INC,incident_count,37.09021483460456,34.882629107981224,stress
2020-04-01,KPI_STP,STP_rate,81.05662996817156,82.14241001564945,stress
2020-04-01,KPI_E2E,processing_time,3.063014001151775,2.5893192488262913,stress
2020-04-01,KPI_INC,incident_count,37.90454140366394,34.82198748043818,stress
2020-05-01,KPI_STP,STP_rate,82.75192600909442,82.18935837245697,recovery
2020-05-01,KPI_E2E,processing_time,2.915278921692947,2.585798122065728,recovery
2020-05-01,KPI_INC,incident_count,36.591324899623956,34.7633020344288,recovery
2020-06-01,KPI_STP,STP_rate,84.25661307658636,82.23787167449139,recovery
2020-06-01,KPI_E2E,processing_time,2.7648613696312783,2.5821596244131455,recovery
2020-06-01,KPI_INC,incident_count,35.923189247905775,34.70266040688576,recovery
2020-07-01,KPI_STP,STP_rate,84.38695506134975,82.2848200312989,normal
2020-07-01,KPI_E2E,processing_time,2.6191694953132396,2.578638497652582,normal
2020-07-01,KPI_INC,incident_count,35.77540312756315,34.64397496087637,normal
2020-08-01,KPI_STP,STP_rate,84.92309203566772,82.33333333333333,normal
2020-08-01,KPI_E2E,processing_time,2.4958741767043553,2.575,normal
2020-08-01,KPI_INC,incident_count,35.4136197143809,34.583333333333336,normal
2020-09-01,KPI_STP,STP_rate,84.68737835165075,82.38184663536776,normal
2020-09-01,KPI_E2E,processing_time,2.45555157481073,2.571361502347418,normal
2020-09-01,KPI_INC,incident_count,34.12798024583692,34.522691705790294,normal
